date,mrw_sd,reis_sd
1948q1,.062272001,
1948q2,.046425,
1948q3,.052508,
1948q4,,
1949q1,.051972002,
1949q2,,
1949q3,.034875002,
1949q4,,
1950q1,.036772002,
1950q2,,
1950q3,,
1950q4,,
1951q1,.038699001,
1951q2,.047299001,
1951q3,,
1951q4,.050829999,
1952q1,.038373999,
1952q2,.035416,
1952q3,,
1952q4,.031348001,
1953q1,,
1953q2,,
1953q3,,
1953q4,.030758999,
1954q1,,
1954q2,.031229001,
1954q3,,
1954q4,.031231999,
1955q1,,
1955q2,.033583999,
1955q3,,
1955q4,.033831,
1956q1,,
1956q2,.032715999,
1956q3,.037636999,
1956q4,.030172,
1957q1,,
1957q2,.030448999,
1957q3,,
1957q4,.042149,
1958q1,,
1958q2,.047628,
1958q3,,
1958q4,.034821998,
1959q1,,
1959q2,.036245,
1959q3,,
1959q4,.036311001,
1960q1,,
1960q2,.038740691,
1960q3,,
1960q4,.03425432,
1961q1,.047573086,
1961q2,.038300361,
1961q3,,
1961q4,.035966087,
1962q1,.033899762,
1962q2,.035966087,
1962q3,.034993239,
1962q4,.035822943,
1963q1,.039478965,
1963q2,,
1963q3,,
1963q4,.029251421,
1964q1,.038131744,
1964q2,.038131744,
1964q3,,
1964q4,,
1965q1,.028464226,
1965q2,,
1965q3,.03099484,
1965q4,.030381922,
1966q1,.034514412,
1966q2,.045504227,.031991385
1966q3,.055224974,.032543734
1966q4,,.031844731
1967q1,.044992689,.030622374
1967q2,.048728514,.031470336
1967q3,.041074459,.031925771
1967q4,.045866366,.032302216
1968q1,,.031703003
1968q2,.039787445,.030892752
1968q3,.045269519,.032426704
1968q4,.040362623,.031758498
1969q1,.048150472,.033984926
1969q2,.055996619,.033829156
1969q3,.058762651,.035455868
1969q4,.056019764,.034160804
1970q1,.052884039,.03859932
1970q2,.059681848,.039833538
1970q3,.052449804,.036435176
1970q4,.052332923,.037869327
1971q1,.056974012,.037066583
1971q2,.057070524,.035657007
1971q3,.03653226,.037479449
1971q4,.035379272,.037119769
1972q1,.031816952,.035407163
1972q2,.039837692,.036166403
1972q3,.038334187,.036195289
1972q4,.038557,.035420224
1973q1,.061654054,.041859627
1973q2,.04715395,.045307498
1973q3,.066506714,.05027093
1973q4,.049562231,.047327336
1974q1,.050685689,.047205299
1974q2,.066945754,.049298231
1974q3,.049567655,.049058646
1974q4,.058300756,.051371492
1975q1,.048505045,.05116481
1975q2,.042467844,.043986425
1975q3,.042853035,.046426225
1975q4,.049446918,.046066198
1976q1,.042352811,.046338104
1976q2,.046049107,.04149032
1976q3,.0431665,.042151328
1976q4,.052194517,.044633646
1977q1,.042779945,
1977q2,.052227546,
1977q3,.046141218,
1977q4,.045902669,
